ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"120",IvP III 110,,https://inscriptions.packhum.org/text/303118?bookid=747&location=1674,"110, pp. 127",Taf. 31,C. Weihungen,Hellenistic?,"-200","-27",?,Dedication,Dedication to Asklepios by Herakles for his son Theotimos,"The name Theotimos frequently occurs in Pergamon from Eumenes I onwards; therefore possibly hellenistic date",Tabula Ansata,Bronze,Found in the westöstlichen mauer der westlichen sondage,A handle with a hole in it might suggest it was hung somewhere,I do not know what Habicht means with this , ,,,,n,,,,Beelines__Point_IvP III 110,,,,,,Beelines_Point_IvP III 110,,Asklepios,,,"Herakles, for son Theotimos","Herakles; Theotimos",,,,"Herakles; Theotimos son of Herakles",,,
"121",IvP III 111,,https://inscriptions.packhum.org/text/303119?bookid=747&location=1674,"111, pp. 127",Taf. 31,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Asklepios by a person named Doros,"Doros occurs 3 times in Pergamon: C. Julius Doros offers to Zeus Keraunios (IvP 329); Doros in a list of names during imperial period (IvP 568, 1); and a Doros son of Asklepiades in an Ephebes list (AM 1908, 399 nr. 21 II 10)",Tabula Ansata,Bronze,Found in the westöstlichen mauer der westlichen sondage,Small hole with bronze ring suggests it hung somewhere,I do not know what Habicht means with this , ,,,,n,,,,Beelines__Point_IvP III 111,,,,,,Beelines_Point_IvP III 111,,Asklepios,,,Doros,Doros,,,,Doros,,,
"122",IvP III 111b,,https://inscriptions.packhum.org/text/303120?bookid=747&location=1674,"111b, pp. 127-8",Taf. 30,C. Weihungen,?,"-27","250",?,Dedication,"Dedication to Asklepios by Tapari, likely after eyes were cured",Unclear whether it was a male or female dedicant and name is enigmatic ,Eyes ,Bronze,Found at the Festplatz, , , ,9514376.633,4331914.175,,n,,,,Beelines__Point_IvP III 111b,,,,,,Beelines_Point_IvP III 111b,,Asklepios,,,Tapari,Tapari,,,,Tapari,,,
"123",IvP III 111c,,https://inscriptions.packhum.org/text/303121?bookid=747&location=1674,"111c, pp. 128",Taf. 32,C. Weihungen,Imperial,"-27","250",?,Dedication,"Dedication to Asklepios, by AR Agathonike ",Unclear what AR stands for.,Bracelet,Bronze,Found near the incubationhalls, , , ,9514327.06849378,4331891.09826652,,n,,,,Beelines__Point_IvP III 111c,,,,,,Beelines_Point_IvP III 111c,,Asklepios,,,Agathonike,Agathonike,,,,,,,
"124",IvP III 112,,https://inscriptions.packhum.org/text/303122?bookid=747&location=1674,"112, pp. 128",Taf. 44,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by Ammion, ,Small altar,white marble,Found between the rubble of the Library , , , ,9514428.209,4331932.8,,n,Depot ,,,Beelines__Point_IvP III 112,,,,,,Beelines_Point_IvP III 112,,Asklepios,,,Ammion,Ammion,,,,,,,
"125",IvP III 113,,https://inscriptions.packhum.org/text/303123?bookid=747&location=1674,"113, pp. 128",Taf. 31,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios by Charesis/Charesios,"According to Habicht this is a man that should be named Charesios; not a women named Charesis ",Tabula Ansata,Bronze,Found in front of a door of the western hall,Includes pins to fix it to a wall or something else, , ,9514288.435,4331904.574,,n,,,,Beelines__Point_IvP III 113,,,,,,Beelines_Point_IvP III 113,,Asklepios,,,Charesis,Charesis,,,,Charesis,,,
"126",IvP III 113b,,https://inscriptions.packhum.org/text/303124?bookid=747&location=1674,"113b, pp. 128-9",Taf. 44,C. Weihungen,imperial,"98","138",98-138 AD,Dedication,Dedication of silver mirrors to Asklepios by Dione recorded on a stele, ,Stele,White marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 113b,,,,,,Beelines_Point_IvP III 113b,,"Asklepios, megariste theos",,,Dione,Dione,,,,,,,
"127",IvP III 113b.1,,https://inscriptions.packhum.org/text/303125?bookid=747&location=1674,"113b, pp. 128-9",,C. Weihungen,imperial,"98","138",98-138 AD,Dedication,Dedication of silver mirrors to Asklepios by Dione recorded on a stele, ,Stele,White marble,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 113b.1,,,,,,Beelines_Point_IvP III 113b.1,,,,,Dione,Dione,,,,,,,
"128",IvP III 113c,,https://inscriptions.packhum.org/text/303126?bookid=747&location=1674,"113c, pp. 129",Taf. 44,C. Weihungen,Imperial,"98","138",98-138 AD,Dedication,Epigram of 2 hexameter ,Unclear who  it adresses. Habicht gives 2 options: Asklepios or Emperor,Fragment of a table,White marble,Found west of the sanctuary near olive groves, , , ,9514227.438,4331883.58,,n,Depot ,,,Beelines__Point_IvP III 113c,,,,,,Beelines_Point_IvP III 113c,,,,,,,,,,,,,
"129",IvP III 113c.1,,https://inscriptions.packhum.org/text/303127?bookid=747&location=1674,"113c, pp. 129",,C. Weihungen,Imperial,"98","138",98-138 AD,Dedication,Epigram of 2 hexameter ,Unclear who  it adresses. Habicht gives 2 options: Asklepios or Emperor,Fragment of a table,White marble,Found west of the sanctuary near olive groves, , , ,9514227.438,4331883.58,,n,,,,Beelines__Point_IvP III 113c.1,,,,,,Beelines_Point_IvP III 113c.1,,,,,,,,,,,,,
"130",IvP III 114,https://drive.google.com/file/d/1ighMtVh2NtbXNc39IEeZyVq93dcF7HUF/view?usp=sharing,https://inscriptions.packhum.org/text/303128?bookid=747&location=1674,"114, pp. 129",Taf. 44,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Asklepios (Gro? ist Asklepios),"The base was not originally intended for this text, but no traces of original inscription",Statue base,White marble,"Found between northern hall and altarfundament, west of the sacred spring", ,It now stands in the northern hall,"Translated by Habicht as ""Gro? ist Asklepios""",9514314.79,4331942.608,,y,B059,9514392.486,4331945.428,Beelines__Point_IvP III 114,,,,,,Beelines_Point_IvP III 114,,"Asklepios, megas",,,,,,,,,,,
"131",IvP III 115,,https://inscriptions.packhum.org/text/303129?bookid=747&location=1674,"115, pp. 129-130",Taf. 44,C. Weihungen,Imperial,"98","138",98-138 AD,Dedication,Dedication of altar to Apollo Pythia (Pythia Phoebus) by Marcus Triphonos,Style is poetic,Block of an altar,White marble,"Found east of the Asklepieion, the Dikeli-Baba hill where an islamic martyr grave is located, with a tower shaped sqaure foundation of trachyte", , Dikeli-Baba hill is ? Just east of Dikili, ,9461349.20640985,4383494.42717734,,n,,,,Beelines__Point_IvP III 115,"39.582830000000001","26.549630000000001",,,,Beelines_Point_IvP III 115,,,Apollo,,Marcus Triphonos,Markos Triphonos,,,,Marcus Triphonos,,,
"132",IvP III 115b,,https://inscriptions.packhum.org/text/303130?bookid=747&location=1674,"115b, pp. 130",Taf. 30,C. Weihungen,?,"-27","250",?,Dedication,"Dedication to Apollo by Proklos, bronze tabula ansata with two ears",It is reminiscent of votives to Asklepios Soter,Tabula Ansata with 2 ears,Bronze,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 115b,,,,,,Beelines_Point_IvP III 115b,,,Apollo,,Proklos,Proklos,,,,Proklos,,,
"133",IvP III 116,,https://inscriptions.packhum.org/text/303131?bookid=747&location=1674,"116, pp. 130",Taf. 31,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Apollo Soter after a dream by Ammion,"Together with previous dedication, it seems that Apollo was venerated as a healing deity in the Asklepieion as well",Tabula Ansata,Bronze,Found at the Festplatz in front of the door to the western hall, , , ,9514294.97042626,4331906.57638667,,n,,,,Beelines__Point_IvP III 116,,,,,,Beelines_Point_IvP III 116,,,Apollo,,Ammion,Ammion,,,,,,,
"134",IvP III 117,,https://inscriptions.packhum.org/text/303132?bookid=747&location=1674,"117, pp. 130-131",,C. Weihungen,Imperial,"117","138",ca. 117-138 AD,Dedication,Dedication to Artemis after a dream by possibly Julia Balbilla ,"The inscription writes Phour. Barbilla. Cult of Artemis also in Pergamene Asklepieion, and includes dreams",Tabula Ansata,Bronze,Not stated, , ,"Artemis is in Epidauros mentioned as a Soter (IG IV²,1 277) and Aphrodite as ????]???????? (IG IV²,1 280). Thus also in Epidauros some fluidity was present in epithets and functions of other deities in the sanctuary",9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 117,,,,,,Beelines_Point_IvP III 117,,,Artemis,,Julia Balbilla ?,,Furia Barbilla,,,Furia Barbilla,,,
"135",IvP III 118,,https://inscriptions.packhum.org/text/303133?bookid=747&location=1674,"118, pp. 131",Taf. 42,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Artemis,"Really short inscription. Possibly Roman period, but Habicht does not mention any date",Smoke altar,White Marble,Found in front of the Propylon stairs, , , ,9514419.0491443,4331905.64025144,,n,Depot ,,,Beelines__Point_IvP III 118,,,,,,Beelines_Point_IvP III 118,,,Artemis,,,,,,,,,,
"136",IvP III 119,,https://inscriptions.packhum.org/text/303134?bookid=747&location=1674,"119, pp. 131-2",Taf. 34,C. Weihungen,Imperial,"-27","100",27 BC - 100AD?,Dedication,Dedication to Hekate Soteira Artemis phosphoros by an Asionikes Attalos (also therapeutes),Same dedicant as no. 71,2 fragments of a statue base,white marble,Found near the Hellenistic fountain/well, , , ,9514357.44,4331906.542,,n,Depot ,,,Beelines__Point_IvP III 119,Asia (province),,https://pleiades.stoa.org/places/837,27.2786844167,37.9096964167,Beelines_Point_IvP III 119,,,"Hekate Soteira; Phosphoros Artemis",,Asionikes Attalos ,Attalos,,,,Attalos,Asionike,therapeutes,
"137",IvP III 120,https://drive.google.com/file/d/1IJxEaU3u6XnxbcVAeIsdyoegVZoSwCja/view?usp=sharing,https://inscriptions.packhum.org/text/303135?bookid=747&location=1674,"120, pp. 132-3",Taf. 35,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to Leto by high priest Euthydemos,"A high priest is unkown for Asklepios; he is also not the ????????? of the imperial cult, which is called ????????? of Asia. Habicht says he was likely hihg priest of all cults of the city. Most other priests like this were known in the imperial period",Altar,White marble,"Found in front of the northern hall, ca. 20m east of the sacred spring", , , ,9514314.79,4331942.608,,y,B028,9514343.93,4331933.838,Beelines__Point_IvP III 120,,,,,,Beelines_Point_IvP III 120,,,Leto,,Euthydemos,Euthydemos,,,,Euthydemos,,archiereus,
"138",IvP III 121,,https://inscriptions.packhum.org/text/303136?bookid=747&location=1674,"121, pp. 133",Taf. 35,C. Weihungen,Hellenistic,"-200","-100",ca. 200-100 BC,Dedication,"Fragmented dedication, mentioning Hygieia",Dated based on letters,Small altar,Marble,Found near the theatre, , , ,9514319.78223851,4331976.32441359,,n,Depot ,,,Beelines__Point_IvP III 121,,,,,,Beelines_Point_IvP III 121,,,Hygieia,,,Kriton,,,,Kriton,,,
"139",IvP III 122,,https://inscriptions.packhum.org/text/303137?bookid=747&location=1674,"122, pp. 133",Taf. 44,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Coronis and Hygieia by a therapeutes, ,Altar,Marble,Found at the stairs of the propylon, , , ,9514419.0491443,4331905.64025144,,n,Depot ,,,Beelines__Point_IvP III 122,,,,,,Beelines_Point_IvP III 122,,,"Hygieia; Koronis",,(a therapeutes),…ton,,,,..ton,,therapeutes,
"140",IvP III 123,,https://inscriptions.packhum.org/text/303138?bookid=747&location=1674,"123, pp. 133-4",Taf. 35,C. Weihungen,Late Hellenistic,"-100","0",100-0 BC,Dedication,Dedication to Hygieia and the muses by Aspasia,"It had a statue of her grandson, Herodes of Stratonike",Votive base,Marble,Found in the temple of Asklepios-soter, , , ,9514320.58759592,4331912.94566323,,n,Depot ,,,Beelines__Point_IvP III 123,,,,,,Beelines_Point_IvP III 123,,,"Hygieia; Muses",,,"Aspasia of Bokros; Herodes of Demophilos, of Stratonike",,,,"Aspasia of Bokros; Herodes of Demophilos, of Stratonike; daughter and son",,,
"141",IvP III 124,,https://inscriptions.packhum.org/text/303139?bookid=747&location=1674,"124, pp. 134-5",Taf. 36,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to the Morai and Nymphs by Marcus Julius Quadratus,Person is not known from other things,pedestal,Marble,Found in the Asklepieion without further details, , , ,9514470.938,4331887.249,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 124,,,,,,Beelines_Point_IvP III 124,,,"Morai; Nymphs",,Marcus Julius Quadratus,,M. Julius Quadratus,,,,,,
"142",IvP III 125,,https://inscriptions.packhum.org/text/303140?bookid=747&location=1674,"125, pp. 135",Taf. 36,C. Weihungen,Imperial,"-27","250",98-102 AD,Dedication,Dedication to Telesphoros by Hermes of Pergamon (Imperial slave) , ,Round base,Marble,Found in the barracks near Asklepieion, , , ,9514829.375,4331832.546,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 125,"Moesia inferior; Pergamon",,https://pleiades.stoa.org/places/216887,24.5,42.5,Beelines_Point_IvP III 125,,,Telesphoros,,Hermes of Pergamon,Hermes of Pergamon,Hermes of Pergamon,,,,imperial slave,,
"143",IvP III 126,,https://inscriptions.packhum.org/text/303141?bookid=747&location=1674,"126, pp. 135-6",,C. Weihungen,?,"-27","250",?,Dedication,Dedication to Telesphoros Soter by a therapeutes Symphoros , ,Smoke altar,white marble,Unkown, , , ,,,,n,,,,Beelines__Point_IvP III 126,,,,,,Beelines_Point_IvP III 126,,,Telesphoros Soter,,Symphoros ,Symphoros,,,,Symphoros,,therapeutes,
"144",IvP III 127,https://drive.google.com/file/d/1L5cdly4dj-wogsmWzMzC8y7obsXPZ9An/view?usp=sharing,https://inscriptions.packhum.org/text/303142?bookid=747&location=1674,"127, pp.  136",Taf. 37,C. Weihungen,Imperial,"100","200",100-200 AD,Dedication,Dedication to a rather unkown goddess Eurostia (possibly personification of good health) by Publius Ailius Theon,"Dedicant was a Rhodian who incubated here, as the altar was dedicated after a dream",Altar,White marble,Found in the modern city,The Asklepieion, , ,,,,n,Bergama Museum,,,Beelines__Point_IvP III 127,Rhodes,,https://pleiades.stoa.org/places/590030,28.227611,36.443113,Beelines_Point_IvP III 127,,,Eurostia,,Publius Aelius Zenodoti Theon,,,"1",,,,,
"145",IvP III 128,,https://inscriptions.packhum.org/text/303143?bookid=747&location=1674,"128, pp. 136",Taf. 37,C. Weihungen,Imperial?,"-27","250",?,Dedication,Dedication to the saving Panakeia by Flavius … Nikomachus, ,Base (possibly altar),Marbe,"Found in a Turkisch graveyard, close to a ""Konak"", a name for a house normally used for houses used as an official residence",The Asklepieion, , ,,,,n,,,,Beelines__Point_IvP III 128,,,,,,Beelines_Point_IvP III 128,,,Panakeia,,Flavius Nicomachus,,Flavius Nicomachus,,,Flavius Nicomachus,,,
"146",IvP III 129,,https://inscriptions.packhum.org/text/303144?bookid=747&location=1674,"129, pp. 137",Taf. 37,C. Weihungen,Roman?,"-27","250",?,Dedication,Dedication to Aphrodite (here called Kypris) of a gold statue of Aphrodite,"Poetic inscription; it is suggested that the dedicant is a Roman equestrian",Small votivebase,Marble,Found in the middle of the southern hall, , ,Translation on p. 129 is from Herzog,9514347.764,4331845.737,,n,Depot ,,,Beelines__Point_IvP III 129,,,,,,Beelines_Point_IvP III 129,,,Aphrodite,,,,,,,,,,
"147",IvP III 130,,https://inscriptions.packhum.org/text/303145?bookid=747&location=1674,"130, pp. 137",Taf. 37,C. Weihungen,Hellenistic,"-150","-100",150-100 BC,Dedication,Dedication to Demeter (first attestation of Demeter in Asklepieion),"Dated on the basis of letterform; author draws comparisons to no. 118, a smoke altar to Artemis",Base (possibly altar),Marble,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 130,,,,,,Beelines_Point_IvP III 130,,,Demeter,,,,,,,,,,
"148",IvP III 131,https://drive.google.com/file/d/14k3kAwgi2ne4ilSL1zI7rXQECJ3iQI6g/view?usp=sharing,https://inscriptions.packhum.org/text/303146?bookid=747&location=1674,"131, pp. 137-8",Taf. 39,C. Weihungen,Imperial?,"-27","250",?,Dedication,"Dedication of the Demos and people (of an Aeolian city, possibly Mytilini) to Elpis, desired by Paian","Paian can be Apollo or Asklepios.According to habicht: this was placed by a city, based on dialect not Pergamon but an Aeolian city + it was after an oracle. This could be Apollo Klaros or Asklepios - the placement here suggests, to me, it was Asklepios of Pergamon",Statue base,Marble,Found in the middle of the Festplatz, , , ,9514376.633,4331914.175,,y,B064,9514334.601,4331927.937,Beelines__Point_IvP III 131,Aeolian city (possibly Mytil)ini,,https://pleiades.stoa.org/places/550763,26.547048,39.110475,Beelines_Point_IvP III 131,,"Asklepios, Paian",Elpis,,"Demos and people (of an Aeolian city, possibly Mytilini)",,,,,,,,
"149",IvP III 131.1,,https://inscriptions.packhum.org/text/303147?bookid=747&location=1674,"131, pp. 137-8",,C. Weihungen,Imperial?,"-27","250",?,Dedication,"Dedication of the Demos and people (of an Aeolian city, possibly Mytilini) to Elpis, desired by Paian","Paian can be Apollo or Asklepios.According to habicht: this was placed by a city, based on dialect not Pergamon but an Aeolian city + it was after an oracle. This could be Apollo Klaros or Asklepios - the placement here suggests, to me, it was Asklepios of Pergamon",Statue base,Marble,Found in the middle of the Festplatz, , , ,9514376.633,4331914.175,,n,,,,Beelines__Point_IvP III 131.1,Aeolian city (possibly Mytil)ini,,https://pleiades.stoa.org/places/550763,26.547048,39.110475,Beelines_Point_IvP III 131.1,,,Elpis,,"Demos and people (of an Aeolian city, possibly Mytilini)",,,,,,,,
"150",IvP III 132,https://drive.google.com/file/d/1BM-rq2nRs2v8iC97QcKUE8JI0lNVWXwP/view?usp=sharing,https://inscriptions.packhum.org/text/303148?bookid=747&location=1674,"132, pp. 138",Taf. 38,C. Weihungen,Imperial,"98","117",98-117 AD,Dedication,Dedication to Taras by a senator C. Julius Nabus,"After Taras appeared in a dream. Taras is named a Hero by habicht, possibly linked to ""eponymen heros von Tarent""",Altar,White marble,Found in front of the middle of the Northern Hall, , , ,9514355.143,4331946.815,,y,B020,9514370.138,4331931.776,Beelines__Point_IvP III 132,,,,,,Beelines_Point_IvP III 132,,,Hero Taras,,C. Julius Navus (senator),,C. Julius Navus (senator),,,,Senator,,
"151",IvP III 133,https://drive.google.com/file/d/1CXJRZyKM0l9Q19yQS4RcICM7V7kj5oEm/view?usp=sharing,https://inscriptions.packhum.org/text/303149?bookid=747&location=1674,"133, pp. 139",Taf. 38,C. Weihungen,Roman?,"-27","69",pre 69 AD,Dedication,Dedications to the gods everywhere by Asklepiades,A priest of Asklepios. Pre-Flavian because during his reign the family received Roman citizenship,Altar base,white marble,Found in front of the middle of the Northern Hall, , , ,9514355.143,4331946.815,,y,B022,9514358.317,4331931.044,Beelines__Point_IvP III 133,,,,,,Beelines_Point_IvP III 133,,,Theoi oi pantachou,,Asklepiades,Asklepiades,,,,Asklepiades,,,
"152",IvP III 134,,https://inscriptions.packhum.org/text/303150?bookid=747&location=1674,"134, pp. 139-140",Taf. 41,C. Weihungen,Roman,"-27","250",?,Dedication,Dedication to Chthonic gods and hero Tiberius Claudius Paulinus,It is not the philosopher Tiberius Claudius Paulinus honoured in no. 32,Votive altar,White marble,"Found in the rubble of the Theatre cavea, eastern side","Originally in a Heroon of Paulinus; likely not far from the Asklepieion",Wiegand thinks this could have been on a hill behind the theatre, ,9514319.78223851,4331976.32441359,,y,B012,9514409.43,4331882.533,Beelines__Point_IvP III 134,,,,,,Beelines_Point_IvP III 134,,,"Chthonic gods (theoi katachthonoi); hero Tiberius Claudius Paulinus",,,,Ti. Claudius Paulinus,,,,,,
"153",IvP III 134.comm,,https://inscriptions.packhum.org/text/303151?bookid=747&location=1674,"134, pp. 139-140",,C. Weihungen,Roman,"-27","250",?,Dedication,Dedication to Chthonic gods and hero Tiberius Claudius Paulinus,It is not the philosopher Tiberius Claudius Paulinus honoured in no. 32,Votive altar,White marble,"Found in the rubble of the Theatre cavea, eastern side","Originally in a Heroon of Paulinus; likely not far from the Asklepieion",Wiegand thinks this could have been on a hill behind the theatre, ,9514319.78223851,4331976.32441359,,n,,,,Beelines__Point_IvP III 134.comm,,,,,,Beelines_Point_IvP III 134.comm,,,"Chthonic gods; hero Tiberius Claudius Paulinus",,,,,,,,,,
"154",IvP III 135,,https://inscriptions.packhum.org/text/303152?bookid=747&location=1674,"135, pp. 140",Taf. 39,C. Weihungen,Roman,"-27","250",?,Dedication,Dedication by a Tatianos,"Could be Pergamon strategos Ti. Aelius Julius Tatianus, (IVP 361/2 hadrianic period); a Roman Aelius Tatianus mentioned in IVP 330; or a Tatios or Tatianos mentioned in ephebe lists",Small base,white marble,Found in the peristasis in the middle of the wall of the southern hall, , , ,9514347.764,4331845.737,,n,Depot ,,,Beelines__Point_IvP III 135,,,,,,Beelines_Point_IvP III 135,,,,,Tatianos,Tatianos,,,,Tatianos,,,
"155",IvP III 136,,https://inscriptions.packhum.org/text/303153?bookid=747&location=1674,"136, pp. 140",Taf. 41,C. Weihungen,?,"-27","250",?,Dedication,Dedication by a Kratinos, ,Small votive altar,coarse-grained marble,Found in the upper-layer of the rubble in front of the theatre, , , ,9514319.78223851,4331976.32441359,,n,Depot ,,,Beelines__Point_IvP III 136,,,,,,Beelines_Point_IvP III 136,,,,,Kratinos,Kratinos,,,,Kratinos,,,
"156",IvP III 137,,https://inscriptions.packhum.org/text/303154?bookid=747&location=1674,"137, pp. 140",Taf. 39,C. Weihungen,Roman?,"-27","250",?,Dedication,Dedication by a Mithres,"Mithras and Mithras can be theophore names. Based on popularity of Mithras in Roman period, I think it is safe to assume that it is Roman",Small votive base,White marble,Found at the middle entrance of the western hall, , , ,9514288.435,4331904.574,,n,,,,Beelines__Point_IvP III 137,,,,,,Beelines_Point_IvP III 137,,,,,Mithres,Mithres,,,,Mithres,,,
"157",IvP III 138,,https://inscriptions.packhum.org/text/303155?bookid=747&location=1674,"138, pp. 140-141",Taf. 39,C. Weihungen,?,"-27","250",?,Dedication,Dedication by a Nikoboulos or Nikoboule, ,Corner of small votive altar,Blue-Grey marble,Found at the middle entrance to the southern hall, , , ,9514347.764,4331845.737,,n,Depot ,,,Beelines__Point_IvP III 138,,,,,,Beelines_Point_IvP III 138,,,,,Nikob[oulos?],Nikob[oul…],,,,Nikoboulos,,,
"158",IvP III 139,,https://inscriptions.packhum.org/text/303156?bookid=747&location=1674,"139, pp. 141",Taf. 41,C. Weihungen,Roman?,"-27","250",?,Dedication,Dedication by Julius Meidias after a cure,"A for Pergamon rare votive stele, mentioning ?????????????, likely bloodletting",lower part of a plaque/stele,Marble,"Found at the Festplatz, between Hellenistic fountain/well and Roman baths", , ,  ,9514314.79,4331942.608,,n,Depot ,,,Beelines__Point_IvP III 139,,,,,,Beelines_Point_IvP III 139,,,,,Julius Meidias,,Julius Meidias,,,Julius Meidias,,,
"159",IvP III 140,,https://inscriptions.packhum.org/text/303157?bookid=747&location=1674,"140, pp. 141-2",Taf. 41,C. Weihungen,Imperial,"-27","250",117-161 AD,Dedication,Dedication to a unkown god (top part is unreadable) by a Pardalas ,"? implies healing - is sometimes mentioned in combination with therapeutes. Pardalas can be a variety of people: Claudius Pardalas, strategos and Neokoros during Antonius Pius's reign; a friend of of Aristides; a diplomat Ti. Julius Pardala Sard; a C. Julius Pardalas mentioned in a decission of the boule; or a Julius Pardalas who was Idioslogos of Egypt during Hadrian's reign",Fragment (possibly altar fragment),Marble,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 140,Sardis,,https://pleiades.stoa.org/places/550867,28.040286,38.488314,Beelines_Point_IvP III 140,,,,,Pardalas,,,Claudius Pardalas from Sardis,,Pardalas,,perithytes,
"160",IvP III 140.1,,https://inscriptions.packhum.org/text/303158?bookid=747&location=1674,"140, pp. 141-2",,C. Weihungen,Imperial,"-27","250",117-161 AD,Dedication,Dedication to a unkown god (top part is unreadable) by a Pardalas ,"? implies healing - is sometimes mentioned in combination with therapeutes. Pardalas can be a variety of people: Claudius Pardalas, strategos and Neokoros during Antonius Pius's reign; a friend of of Aristides; a diplomat Ti. Julius Pardala Sard; a C. Julius Pardalas mentioned in a decission of the boule; or a Julius Pardalas who was Idioslogos of Egypt during Hadrian's reign",Fragment (possibly altar fragment),Marble,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 140.1,,,,,,Beelines_Point_IvP III 140.1,,,,,Pardalas,,,,,Pardalas,Equites??,perithytes,
"161",IvP III 141,,https://inscriptions.packhum.org/text/303159?bookid=747&location=1674,"141, pp. 142",Taf. 40,C. Weihungen,Imperial,"117","138",117-138 AD,Dedication,Mentioning the dedication of the propylon by Claudius Charax, ,"Backwall of the Propylon of Charax, with inscription on a shield ", ,Found in front of the forecourt of the propylon,It originally was part of the propylon , , ,9514457.491,4331907.159,,y,B009,9514431.152,4331907.352,Beelines__Point_IvP III 141,,,,,,Beelines_Point_IvP III 141,,,,,A. Claudius Charax,,A. Claudius Charax,,,A. Claudius Charax,"Senator; Sophist",,
"162",IvP III 142,,https://inscriptions.packhum.org/text/303160?bookid=747&location=1674,"142, pp. 142-3",Taf. 40,C. Weihungen,Late Hellenistic-Early imperial,"-50","50",ca 50 BC-50AD?,Dedication,"Dedication by Nikeros , as son of Nike and Eros","The names Nike and Eros could be persons, but due to placement they likely were not",Plaque,White marble,Found in the space northwest of the stairs of the Asklepios-soter temple, , , ,9514331.343,4331912.102,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 142,,,,,,Beelines_Point_IvP III 142,,,"Eros; Nike; Nikeros",,,,,,,,,,
"163",IvP III 142.1,,https://inscriptions.packhum.org/text/303161?bookid=747&location=1674,"142, pp. 142-3",,C. Weihungen,Late Hellenistic-Early imperial,"-50","50",ca 50 BC-50AD?,Dedication,"Dedication by Nikeros , as son of Nike and Eros","The names Nike and Eros could be persons, but due to placement they likely were not",Plaque,White marble,Found in the space northwest of the stairs of the Asklepios-soter temple, , , ,9514331.343,4331912.102,,n,,,,Beelines__Point_IvP III 142.1,,,,,,Beelines_Point_IvP III 142.1,,,,,,,,,,,,,
"164",IvP III 143,,https://inscriptions.packhum.org/text/303162?bookid=747&location=1674,"143, pp. 143",Taf. 33,C. Weihungen,?, , ,?,Dedication,Dedication of [---]nigros of Makedon, ,2 fragments of bronze relief,Bronze,Not stated, , , ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 143,Macedonia,,https://pleiades.stoa.org/errata/991368,22.5,42.5,Beelines_Point_IvP III 143,,,,,,,,,[---]nigros of Makedon,,,,
"165",IvP III 144,,https://inscriptions.packhum.org/text/303163?bookid=747&location=1674,"144, pp. 143-4",Taf. 42,C. Weihungen,Imperial,"69","97",69-97 AD,Dedication,Fragmented,A head in the inscription depicts a women wearing her hair in Flavian style,Fragment with a head of a woman with flavian hair,White marble,Found at the Festplatz, , , ,9514376.633,4331914.175,,n,Depot ,,,Beelines__Point_IvP III 144,,,,,,Beelines_Point_IvP III 144,,,,,,,,,,,,,
